A1,Abhayarishtam,450ml,60
A10,Kumaryasavam,450ml,77
A10H,Kumaryasavam,200ml,35
A11,Khadirarishtam,450ml,91
A11H,Khadirarishtam,200ml,42
A12,Chandanasavam,450ml,60
A12H,Chandanasavam,200ml,28
A13,Jeerakarishtam,450ml,98
A13H,Jeerakarishtam,200ml,46
A14,Dasamoolarishtam,450ml,77
A14H,Dasamoolarishtam,200ml,35
A15,Danthyarishtam,450ml,60
A15H,Danthyarishtam,200ml,28
A16,Duralabharishtam,450ml,74
A16H,Duralabharishtam,200ml,35
A17,Draksharishtam,450ml,91
A17H,Draksharishtam,200ml,42
A18,Partharishtam,450ml,70
A18H,Partharishtam,200ml,32
A19,Pippalyasavam,450ml,67
A19H,Pippalyasavam,200ml,30
A1H,Abhayarishtam,200ml,28
A2,Amrutharishtam,450ml,67
A20,Punarnavasavam,450ml,67
A20H,Punarnavasavam,200ml,30
A21,Balarishtam,450ml,70
A21H,Balarishtam,200ml,32
A22,Madhookasavam,450ml,116
A22H,Madhookasavam,200ml,53
A23,Mustharishtam,450ml,70
A23H,Mustharishtam,200ml,32
A24,Mrudweekarishtam,450ml,95
A24H,Mrudweekarishtam,200ml,42
A25,Lohasavam,450ml,77
A25H,Lohasavam,200ml,35
A26,Lodhrasavam,450ml,84
A26H,Lodhrasavam,200ml,39
A28,Saraswatharishtam (gold),10ml,482
A29,Vasarishtam,450ml,98
A29H,Vasarishtam,200ml,46
A2H,Amrutharishtam,200ml,32
A3,Asokarishtam,450ml,63
A31,Aravindasavam,450ml,70
A31H,Aravindasavam,200ml,32
A32,Saribadyasavam,450ml,70
A32H,Saribadyasavam,200ml,32
A33,Ayaskrithi,450ml,77
A33H,Ayaskrithi,200ml,35
A35,Dhanwanthararishtam,450ml,91
A35H,Dhanwanthararishtam,200ml,42
A36,Useerasavam,450ml,81
A36H,Useerasavam,200ml,35
A37,Chavikasavam,450ml,77
A37H,Chavikasavam,200ml,35
A38,Vidaryadyasavam,450ml,70
A38H,Vidaryadyasavam,200ml,32
A39,Poothikasavam,450ml,63
A39H,Poothikasavam,200ml,28
A3H,Asokarishtam,200ml,25
A4,Ahiphenasavam,10ml,32
A41,Rohithakarishtam,450ml,60
A41H,Rohithakarishtam,200ml,28
A5,Aswagandharishtam,450ml,109
A5H,Aswagandharishtam,200ml,49
A6,Aragwadharishtam,450ml,70
A6H,Aragwadharishtam,200ml,32
A7,Kanakasavam,450ml,67
A7H,Kanakasavam,200ml,32
A8,Karpoorasavam,10ml,25
A9,Kutajarishtam,450ml,70
A9H,Kutajarishtam,200ml,32
AD1,Aparajithadoopa Choornam,50g,39
B1,Annabhedi Sindooram,10g,63
B10,Loha Sindooram,10g,77
B10C,Loha Sindooram,25g,186
B10G,Loha Sindooram,5g,39
B16,Mandoora Bhasmam,10g,119
B16B,Mandoora Bhasmam,20g,231
B1C,Annabhedi Sindooram,20g,126
B1D,Annabhedi Sindooram,5g,35
B2,Abhra Bhasmam,5g,95
B20,Sankha Bhasmam,5g,28
B20A,Sankha Bhasmam,10g,56
B2A,Abhra Bhasmam,10g,186
B3,Avaltholadi Bhasmam,50g,98
B3E,Avaltholadi Bhasmam,100g,196
B4,Kantha Sindooram,10g,60
B4G,Kantha Sindooram,5g,32
B5,Gandhaka Rasayanam,10g,56
B5C,Gandhaka Rasayanam,25g,140
B5G,Gandhaka Rasayanam,5g,28
B8D,Panaviraladi Bhasmam,50g,35
B9,Pravala Bhasmam,5g,168
B9A,Pravala Bhasmam,10g,329
B9B,Pravala Bhasmam,20g,655
C1,Avipathi Choornam,500g,420
C10,Thaleesapathradi Choornam,500g,420
C10D,Thaleesapathradi Choornam,50g,46
C10F,Thaleesapathradi Choornam,10g,14
C11,Yavanyadi Choornam,500g,350
C110,Indukantham KSC,500g,287
C110D,Indukantham KSC,50g,28
C111,Amruthotharm KSC,500g,133
C111D,Amruthotharm KSC,50g,14
C112,Amruthadi KSC,500g,133
C112D,Amruthadi KSC,50g,14
C113,Dasamoolakaduthrayam KSC,500g,200
C113D,Dasamoolakaduthrayam KSC,50g,21
C114,Gandharvahasthadi KSC,500g,154
C114D,Gandharvahasthadi KSC,50g,18
C115,Guluchyadi KSC,500g,133
C115D,Guluchyadi KSC,50g,14
C116,Maharasnadi KSC,500g,161
C116D,Maharasnadi KSC,50g,21
C117,Pathyadi KSC,500g,182
C117D,Pathyadi KSC,50g,21
C118,Punarnavadi KSC,500g,161
C118D,Punarnavadi KSC,50g,18
C119,Rasnerandadi KSC,500g,154
C119D,Rasnerandadhi KSC,50g,18
C11D,Yavanyadi Choornam,50g,39
C12,Rajannyadi Choornam,500g,385
C120,Sitholpaladi choornam,500g,483
C120D,Sitholpaladi choornam,50g,53
C121,Avipathikara Choornam,500g,546
C121D,Avipathikara Choornam,50g,63
C122,Baladhi KSC,200g,77
C125,Thrikatu Choornam,500g,623
C125D,Thrikatu Choornam,50g,74
C126,Eladi Choornam,500g,515
C126D,Eladi Choornam,50g,56
C127,Punarnava Choornam,500g,263
C127D,Punarnava Choornam,50g,28
C12D,Rajannyadi Choornam,50g,42
C13,Rasnadi Choornam,500g,515
C130D,Asana Choornam,50g,21
C130F,Asana Choornam,10g,11
C13D,Rasnadi Choornam,50g,56
C13F,Rasnadi Choornam,10g,14
C14,Vara Choornam,500g,385
C14D,Vara Choornam,50g,42
C15,Vaiswanara Choornam,500g,385
C15D,Vaiswanara Choornam,50g,39
C16,Sudarsana Choornam,500g,319
C16D,Sudarsana Choornam,50g,35
C17,Hinguvachadi Choornam,500g,420
C17D,Hinguvachadi Choornam,50g,46
C19,Gruhadhoomadilepa Choornam,500g,301
C19D,Gruhadhoomadilepa Choornam,50g,32
C1D,Avipathi Choornam,50g,46
C1F,Avipathi Choornam,10g,14
C2,Ashta Choornam,500g,515
C20,Abhaya Choornam,500g,147
C20D,Abhaya Choornam,50g,18
C21,Abhayadi Choornam,500g,487
C21D,Abhayadi Choornam,50g,49
C22,Aswagandha Choornam,500g,452
C22D,Aswagandha Choornam,50g,49
C24,Amaya Choornam,500g,287
C24D,Amaya Choornam,50g,32
C25,Useera Choornam,500g,312
C25D,Useera Choornam,50g,32
C26,Unmadanasini Choornam,500g,392
C26D,Unmadanasini Choornam,50g,42
C28,Kantakari Choornam,500g,217
C28D,Kantakari Choornam,50g,25
C29,Kutaja Choornam,500g,217
C29D,Kutaja Choornam,50g,25
C2D,Ashta Choornam,50g,56
C2F,Ashta Choornam,10g,14
C3,Agnimugha Choornam,500g,231
C33,Guluchee Choornam,500g,231
C33D,Guluchee Choornam,50g,25
C34,Gokshura Choornam,500g,336
C34D,Gokshura Choornam,50g,35
C35,Chandana Choornam,500g,3108
C35D,Chandana Choornam,50g,312
C36,Chithraka Choornam,500g,2310
C36D,Chithraka Choornam,50g,231
C37,Jeeraka  Choornam,500g,697
C37D,Jeeraka  Choornam,50g,70
C39,Thrivruth Choornam,500g,217
C39D,Thrivruth Choornam,50g,25
C3D,Agnimugha Choornam,50g,25
C4,Inthuppukanam,500g,420
C40,Danthi Choornam,500g,441
C40D,Danthi Choornam,50g,46
C42,Nagakesara Choornam,500g,242
C42D,Nagakesara Choornam,50g,25
C43,Nisa Chornam,500g,308
C43D,Nisa Chornam,50g,32
C44,Panchakola Choornam,500g,630
C47,Pippali Chornam,500g,1050
C47D,Pippali Chornam,50g,105
C48,Pippalimoola Choornam,500g,263
C48D,Pippalimoola Choornam,50g,28
C49,Puranadhathriphala Choornam,500g,154
C49D,Puranadhathriphala Choornam,50g,18
C4D,Inthuppukanam,50g,42
C5,Eladigana Choornam,500g,630
C50,Maricha Choornam,500g,441
C50D,Maricha Choornam,50g,46
C52,Misi Choornam,500g,242
C52D,Misi Choornam,50g,25
C53,Mustha Choornam,500g,147
C53D,Mustha Choornam,50g,18
C54,Yashti Choornam,500g,277
C54D,Yashti Choornam,50g,28
C55,Vacha Choornam,500g,263
C55D,Vacha Choornam,50g,28
C58,Vidanga Choornam,500g,543
C58D,Vidanga Choornam,50g,56
C59,Sathavari choornam,500g,441
C59D,Sathavari choornam,50Gm,53
C5D,Eladigana Choornam,50g,67
C6,Karpooradi Choornam,500g,490
C60,Sunti Choornam,500g,441
C60D,Sunti Choornam,50g,46
C61,Swethasankhupushpa Choornam,500g,322
C61D,Swethasankhupushpa Choornam,50g,35
C62,Sarpaganadhi Choornam,500g,858
C62D,Sarpaganadhi Choornam,50g,98
C63,Sarpagandhyadi Choornam,500g,805
C63D,Sarpagandhyadi Choornam,50g,88
C65,Somalatha Choornam,500g,532
C65D,Somalatha Choornam,50g,56
C68,Saraswatha Choornam,500g,644
C68D,Saraswatha Choornam,50g,70
C69,Yogaraja Choornam,500g,487
C69D,Yogaraja Choornam,50g,49
C6D,Karpooradi Choornam,50g,53
C7,Kallyanaksharam,250g,301
C70,Pushyanuga Choornam,500g,644
C70D,Pushyanuga Choornam,50g,70
C71,Nimbadi Choornam,500g,322
C71D,Nimbadi Choornam,50g,35
C72D,Amruthadi Choornam,50g,28
C73D,Panchakoladi Choornam,50g,63
C75,Navayasa Choornam,50g,70
C78D,Kachooradi Choornam,50g,46
C8,Gulgulupanchapala Choornam,500g,644
C83,Kottamchukkadi Choornam,200g,126
C84,Jatamayadilepa choornam,200g,154
C8D,Gulgulupanchapala Choornam,50g,70
C9,Dadimashtaka Choornam,500g,385
C90,Shaddharana Choornam,50g,98
C93A,Kolakulathadi Choornam,200g,84
C93D,Kolakulathadi Choornam,50g,25
C97,Nagaradi Lepa Choornam,200g,154
C97D,Nagaradi Lepa Choornam,50g,42
C9D,Dadimashtaka Choornam,50g,42
D1,Amruthotharam Kashayam,200ml,77
D10,Nirgunyadi Kashayam,200ml,70
D11,Nisakatakadi Kashayam,200ml,81
D15,Dhanwantharam Kashayam,200ml,109
D17,Panchatikthakam Kashayam,200ml,95
D18,Pathyadi Kashayam,200ml,84
D19,Punarnnavadi Kashayam,200ml,84
D2,Elakanadi Kashayam,200ml,116
D20,Bhruhathyadi Kashayam,200ml,77
D21,Bhadradarvadi Kashayam,200ml,84
D22,Maharasnadi Kashayam,200ml,123
D23,Manjishtadi Kashayam,200ml,105
D24,Mustakaranjadi Kashayam,200ml,98
D25,Musalikhadiradi Kashayam,200ml,70
D26,Rasnerandadi Kashayam,200ml,130
D27,Varanadi Kashayam,200ml,77
D28,Vyoshadi Kashayam,200ml,77
D29,Sapthasaram Kashayam,200ml,95
D30,Padoladhiganam Kashayam,200ml,154
D37,Thrayanthyadi Kashayam,200ml,126
D4,Ghandravahastadi Kashayam,200ml,77
D40,Ashtavargam (Balasahachradi),200ml,88
D41,Gulguluthikthakomkashayam,200ml,140
D42,Dhanadanayanadi Kashayam,200ml,112
D43,Prasaranyadi Kashayam,200ml,84
D44,Rasnasaptakam Kashayam,200ml,88
D45,Vidaryadi Kashayam,200ml,91
